"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.753611375E0,-2.768492889E0,-5.997278595E0,3.564088440E-1
2.763653375E0,-2.323019257E0,-5.457650757E0,7.536827087E-1
2.773696375E0,-2.354603577E0,-5.258265381E0,6.349795532E-1
2.783738375E0,-2.662962341E0,-5.126838684E0,4.959187317E-1
2.793781375E0,-2.998265076E0,-5.236710205E0,3.682342529E-1
2.803823375E0,-3.363056488E0,-5.579347687E0,-2.008822632E-1
2.813866375E0,-3.910318451E0,-6.250551910E0,-8.806187439E-1
2.823908375E0,-4.651277618E0,-7.065906372E0,-1.107546844E0
2.833951375E0,-5.492827606E0,-7.923173676E0,-9.193881226E-1
2.843993375E0,-6.334377594E0,-8.759334869E0,-5.176235962E-1
2.854035375E0,-7.117698669E0,-8.566835175E0,2.173480225E-1
2.864078375E0,-8.379724274E0,-8.659342804E0,-1.422042847E-1
2.874120375E0,-9.405241699E0,-8.704399109E0,-5.084925842E-1
2.884163375E0,-9.863738251E0,-8.855135651E0,-1.550775146E-1
2.894205375E0,-1.045845154E1,-1.022179367E1,1.045875092E0
2.904248375E0,-1.009485764E1,-1.091395432E1,6.911128235E-1
2.914290375E0,-9.502539368E0,-1.159503799E1,7.788304138E-1
2.924333375E0,-7.578889618E0,-1.084285217E1,1.957329712E0
2.934375375E0,-5.505401459E0,-9.364376678E0,2.011367340E0
2.944418375E0,-4.319268036E0,-1.045126648E1,2.204615479E0
2.954460375E0,-3.547772369E0,-1.091215805E1,2.942880249E0
2.964502375E0,-2.821782074E0,-1.014365616E1,3.222648468E0
2.974545375E0,-2.444267120E0,-9.339977417E0,5.481301575E0
2.984587375E0,-1.926793213E0,-8.972192230E0,7.038812714E0
2.994630375E0,-2.115401001E0,-9.126970367E0,6.846462708E0
3.004672375E0,-3.298241272E0,-9.372459869E0,6.191275177E0
3.014715375E0,-4.374503174E0,-8.602461090E0,5.219795380E0
3.024757375E0,-4.596641235E0,-7.965086517E0,4.555027771E0
3.034800375E0,-5.617368622E0,-7.545658722E0,3.037184143E0
3.044842375E0,-6.034102020E0,-7.220385132E0,1.790726166E0
3.054884375E0,-6.299051056E0,-6.612648926E0,2.158062286E0
3.064927375E0,-7.419171753E0,-5.561385040E0,2.155068512E0
3.074969375E0,-7.615413666E0,-4.431983643E0,1.684147797E0
3.085012375E0,-7.472760315E0,-3.559747467E0,1.693877563E0
3.095054375E0,-7.065008240E0,-3.044369202E0,1.748963013E0
3.105097375E0,-6.976991272E0,-2.057471466E0,1.891616364E0
3.115139375E0,-7.011719055E0,-1.233285370E0,1.243763580E0
3.125182375E0,-7.573500824E0,-3.742218018E-3,2.030826874E0
3.135224375E0,-7.615862732E0,4.043092346E-1,2.815794525E0
3.145267375E0,-6.841373291E0,3.697311401E-1,3.031945038E0
3.155304500E0,-6.968159637E0,1.669029236E-1,1.686393127E0
3.165346500E0,-7.902366943E0,-2.028282166E-1,8.262817383E-1
3.175389500E0,-9.202263794E0,-9.098080444E-1,2.162103882E0
3.185431500E0,-1.012299911E1,-1.337319031E0,3.897594910E0
3.195474500E0,-1.039318726E1,-1.669927368E0,4.623136139E0
3.205516500E0,-1.065993256E1,-2.588117981E0,5.068759460E0
3.215559500E0,-1.005563919E1,-3.942950592E0,4.958738251E0
3.225601500E0,-8.683143311E0,-4.630620575E0,4.508175201E0
3.235644500E0,-8.197104034E0,-5.894292755E0,5.792055359E0
3.245686500E0,-7.528444519E0,-7.509883118E0,6.599476318E0
3.255729500E0,-6.139482880E0,-8.993897095E0,5.859714661E0
3.265771500E0,-4.844825134E0,-1.108010880E1,5.769901428E0
3.275813500E0,-3.566034393E0,-1.509461060E1,6.984026642E0
3.285856500E0,-2.123184814E0,-1.804856781E1,6.896907806E0
3.295898500E0,-8.771759033E-1,-1.773975998E1,5.946384430E0
3.305941500E0,5.743556213E-1,-1.426698166E1,5.481301575E0
3.315983500E0,6.337820435E-1,-1.395024033E1,7.314689026E0
3.326026500E0,-1.282832336E-1,-1.331915268E1,8.620872803E0
3.336068500E0,7.813751221E-2,-1.107037903E1,9.977801056E0
3.346111500E0,-2.743794250E-1,-9.837393036E0,7.932154999E0
3.356153500E0,-4.638853455E-1,-8.327482910E0,6.566544800E0
3.366195500E0,-1.216071167E0,-6.908134460E0,5.383554840E0
3.376238500E0,-1.900597687E0,-7.316634979E0,3.644620972E0
3.386280500E0,-2.168390808E0,-7.718998260E0,2.941832428E0
3.396323500E0,-2.646047516E0,-8.303532715E0,2.554288330E0
3.406365500E0,-2.413730621E0,-9.035211182E0,1.967358856E0
3.416408500E0,-2.243534546E0,-9.360784149E0,2.190844116E0
3.426450500E0,-2.890489197E0,-1.006596771E1,1.570384369E0
3.436493500E0,-3.095562744E0,-9.969568176E0,1.027912445E0
3.446535500E0,-2.875670013E0,-9.703571320E0,1.391356659E0
3.456578500E0,-2.770438843E0,-9.661658478E0,8.520281982E-1
3.466620500E0,-2.807262268E0,-9.226962433E0,2.372566223E-1
3.476662500E0,-2.800825653E0,-9.075178070E0,-3.221301270E-1
3.486705500E0,-2.537373505E0,-8.954978027E0,-7.310797119E-1
3.496747500E0,-2.347119141E0,-9.173673248E0,-2.558180237E-1
3.506790500E0,-2.544857941E0,-9.029373322E0,-8.047265625E-1
3.516832500E0,-2.674338684E0,-8.151299286E0,-1.882485352E0
3.526875500E0,-2.568658447E0,-7.829318848E0,-1.644929352E0
3.536917500E0,-2.254312134E0,-8.202642517E0,-1.826501770E0
3.546960500E0,-1.840871887E0,-7.913144531E0,-2.443069611E0
3.557002500E0,-1.210832062E0,-7.266788635E0,-3.803590393E0
3.567044500E0,-2.827619934E-1,-7.598199463E0,-4.150718536E0
3.577087500E0,1.746268616E0,-7.677384796E0,-5.724845123E0
3.587129500E0,4.287983093E0,-9.139843597E0,-8.692573700E0
3.597172500E0,5.641917572E0,-9.493857422E0,-1.145193558E1
3.607214500E0,5.429359589E0,-9.712402954E0,-7.899971924E0
3.617257500E0,4.503834229E0,-1.099778000E1,-4.985682220E0
3.627299500E0,3.799848175E0,-1.025113266E1,-2.905607758E0
3.637342500E0,3.298690338E0,-9.303153992E0,-2.164648590E0
3.647384500E0,3.332669678E0,-8.834328918E0,-2.136507111E0
3.657427500E0,3.339555359E0,-8.058342590E0,-2.142494659E0
3.667469500E0,3.400778046E0,-8.253386993E0,-2.415975952E0
3.677511500E0,3.373235321E0,-8.319399719E0,-2.895428925E0
3.687554500E0,3.125201111E0,-8.182883606E0,-3.464844818E0
3.697596500E0,2.628983002E0,-8.274792480E0,-3.624712372E0
3.707639500E0,2.118843842E0,-8.550219727E0,-3.534749451E0
3.717681500E0,1.838177490E0,-8.737180939E0,-3.705993347E0
3.727724500E0,1.841620331E0,-8.775800629E0,-3.676804047E0
3.737766500E0,1.820214844E0,-8.685987396E0,-3.594325562E0
3.747809500E0,1.916315002E0,-8.793164520E0,-3.150348816E0
3.757851500E0,1.939367065E0,-8.867410126E0,-2.584375763E0
3.767893500E0,1.927092590E0,-8.956325226E0,-2.236349487E0
3.777936500E0,1.935325470E0,-8.997639313E0,-2.032922516E0
3.787978500E0,1.774859161E0,-9.127569122E0,-1.589993591E0
3.798021500E0,1.520388336E0,-9.692793732E0,-1.224453735E0
3.808063500E0,1.171314240E0,-9.852960663E0,-1.420995026E0
3.818106500E0,8.291258240E-1,-9.827363892E0,-1.440903625E0
3.828148500E0,3.436853027E-1,-1.013736923E1,-1.467697906E0
3.838191500E0,-2.438429260E-1,-1.059167450E1,-1.675166473E0
3.848233500E0,-9.222322083E-1,-1.118578903E1,-1.632205811E0
3.858276500E0,-1.562151489E0,-1.169802383E1,-1.703906708E0
3.868318500E0,-2.059118042E0,-1.169308411E1,-1.882784729E0
3.878360500E0,-2.298470306E0,-1.115225876E1,-1.595083008E0
3.888403500E0,-2.571352844E0,-1.080453186E1,-1.213077393E0
3.898445500E0,-2.694696350E0,-1.082743423E1,-1.134790192E0
3.908488500E0,-2.624492340E0,-1.005474106E1,-1.125210114E0
3.918530500E0,-2.381397858E0,-9.293424225E0,-9.934840393E-1
3.928573500E0,-2.047891388E0,-8.838220825E0,-1.320254517E0
3.938615500E0,-1.702709198E0,-9.106163635E0,-1.448388062E0
3.948658500E0,-1.372196503E0,-9.556876373E0,-1.720073090E0
3.958700500E0,-1.089883575E0,-9.662855988E0,-2.203717346E0
3.968742500E0,-7.818241882E-1,-9.654922485E0,-2.572700043E0
