"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.025772417E0,-3.520978088E0,-6.601721649E0,3.269051971E0
3.035812417E0,-2.523003387E0,-7.598648529E0,3.832330627E0
3.045853417E0,-1.927092590E0,-9.491911469E0,2.769391022E0
3.055893417E0,-1.474433899E0,-1.029963181E1,1.407523041E0
3.065934417E0,-9.277706909E-1,-1.011850845E1,1.004860382E0
3.075974417E0,-5.102888489E-1,-9.172326050E0,1.104253693E0
3.086015417E0,8.080197144E-1,-6.460415497E0,1.217268677E0
3.096056417E0,3.455414429E0,-2.247576141E0,2.116598511E0
3.106096417E0,3.497476959E0,-3.838318176E0,2.754272461E0
3.116137417E0,2.087858276E0,-8.620423737E0,3.311413879E0
3.126177417E0,1.634002075E0,-1.064945435E1,4.098177795E0
3.136218417E0,7.035369873E-1,-1.228645020E1,3.695215759E0
3.146258417E0,-1.238823853E0,-1.445753540E1,2.205064545E0
3.156299417E0,-3.690126343E0,-1.515418671E1,9.360035706E-1
3.166339417E0,-5.053491211E0,-1.267294647E1,-2.478845215E-1
3.176380417E0,-5.212310944E0,-1.025936554E1,-8.279283142E-1
3.186421417E0,-5.064418488E0,-9.892328796E0,3.906875610E-1
3.196461417E0,-5.105582886E0,-1.063613205E1,7.349716187E-1
3.206502417E0,-4.723726959E0,-1.109447891E1,-0.000000000E0
3.216542417E0,-4.023483124E0,-1.144924118E1,-1.279838562E0
3.226583417E0,-3.711980896E0,-1.169353317E1,-2.050136719E0
3.236624417E0,-3.448079681E0,-1.141705811E1,-2.426005096E0
3.246664417E0,-2.789299622E0,-1.081306412E1,-2.389630737E0
3.256705417E0,-1.769021301E0,-1.010009674E1,-1.701212311E0
3.266745417E0,-6.954537964E-1,-9.037905579E0,-9.532177734E-1
3.276786417E0,5.932164001E-1,-7.200326843E0,4.111949158E-1
3.286826417E0,1.286275177E0,-6.391109619E0,2.198029175E0
3.296867417E0,4.629872131E-1,-7.493417358E0,2.887645111E0
3.306908417E0,-4.908293152E-1,-8.685538330E0,2.771486664E0
3.316948417E0,-1.292412415E0,-9.589508514E0,2.968626709E0
3.326989417E0,-1.448088684E0,-9.912237396E0,2.989732819E0
3.337029417E0,-1.405726776E0,-1.017209702E1,2.171683960E0
3.347070417E0,-9.973759460E-1,-1.012075378E1,1.345851288E0
3.357110417E0,-8.039781189E-1,-1.016012192E1,4.568499756E-1
3.367151417E0,-7.756869507E-1,-1.007824219E1,1.240919495E-1
3.377192417E0,-9.065148926E-1,-9.840536499E0,1.347198486E-1
3.387232417E0,-1.159039764E0,-1.004860382E1,-3.517684937E-2
3.397273417E0,-1.226549377E0,-1.026176056E1,1.818717957E-1
3.407313417E0,-1.351838837E0,-1.053494247E1,5.346881104E-1
3.417354417E0,-1.751657410E0,-1.111902786E1,4.734654236E-1
3.427394417E0,-1.124162292E0,-1.018003052E1,8.345146179E-1
3.437435417E0,-8.680448914E-1,-1.018691620E1,5.279521179E-1
3.447476417E0,-6.324348450E-1,-1.028990204E1,1.127156067E-1
3.457516417E0,-4.483177185E-1,-1.031025970E1,-1.148112488E-1
3.467557417E0,-3.848497009E-1,-1.053733749E1,-3.137475586E-1
3.477597417E0,-4.567002869E-1,-1.088521408E1,-5.095404053E-1
3.487638417E0,-5.466632080E-1,-1.123847946E1,-7.412585449E-1
3.497678417E0,-5.676196289E-1,-1.150672165E1,-9.864486694E-1
3.507719417E0,-5.138813782E-1,-1.170176605E1,-9.804611206E-1
3.517760417E0,-4.517605591E-1,-1.177870605E1,-8.887019348E-1
3.527800417E0,-4.140390015E-1,-1.171523804E1,-7.566764832E-1
3.537841417E0,-4.135899353E-1,-1.145837219E1,-7.725434875E-1
3.547881417E0,-4.340972900E-1,-1.090257797E1,-1.084943848E0
3.557922417E0,-4.830455017E-1,-1.021206390E1,-1.588945770E0
3.567962417E0,-6.285429382E-1,-9.521849213E0,-2.092498627E0
3.578003417E0,-9.578581238E-1,-9.050479431E0,-2.223326569E0
3.588044417E0,-1.413660278E0,-9.262738037E0,-1.872755585E0
3.598084417E0,-1.520837402E0,-9.856702881E0,-1.270557861E0
3.608125417E0,-1.456920319E0,-1.085677322E1,-1.143322449E0
3.618165417E0,-1.240320740E0,-1.163739990E1,-1.128054199E0
3.628206417E0,-7.623646545E-1,-1.192839478E1,-1.626218262E0
3.638247417E0,-2.231858826E-1,-1.212224167E1,-2.541115723E0
3.648287542E0,5.610333252E-1,-1.244721588E1,-3.171155548E0
3.658328542E0,1.337768097E0,-1.294118866E1,-2.701582031E0
3.668368542E0,1.751807098E0,-1.328981369E1,-1.156495056E0
3.678409542E0,1.897005157E0,-1.312800018E1,6.129753113E-1
3.688450542E0,1.650916901E0,-1.243853394E1,1.486858063E0
3.698490542E0,1.005908203E0,-1.171583679E1,1.610650635E0
